For vm-1a:
file /var/log/kern.log at 2024-06-05T05:13:25.969Z, log record: Jun  5 05:13:18 vm-1a kernel: [  969.577517] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=34.205.18.166 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=3589 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.662939] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=35.173.180.18 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=4297 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  959.667860] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.235.21.83 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=55424 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.164447] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.87.152.102 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=29708 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.335335] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=18.204.55.53 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=247 ID=56226 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.455632] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.111.114 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=54979 DF PROTO=ICMP TYPE=8 CODE=0 ID=11 SEQ=21872
file /var/log/kern.log at 2024-06-05T05:13:09.968Z, log record: Jun  5 05:13:09 vm-1a kernel: [  960.718022] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.128.250 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=29546 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=23160
file /var/log/syslog at 2024-06-05T05:13:10.225Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.164447] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=3.87.152.102 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=250 ID=29708 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:10.225Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.335335] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=18.204.55.53 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=247 ID=56226 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
file /var/log/syslog at 2024-06-05T05:13:10.225Z, log record: Jun  5 05:13:08 vm-1a kernel: [  960.455632] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.111.114 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=54979 DF PROTO=ICMP TYPE=8 CODE=0 ID=11 SEQ=21872
file /var/log/syslog at 2024-06-05T05:13:10.225Z, log record: Jun  5 05:13:09 vm-1a kernel: [  960.718022] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=16.62.128.250 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=248 ID=29546 DF PROTO=ICMP TYPE=8 CODE=0 ID=12 SEQ=23160
file /var/log/syslog at 2024-06-05T05:13:10.225Z, log record: Jun  5 05:13:10 vm-1a kernel: [  961.476331] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=100.25.129.64 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=21222 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/syslog at 2024-06-05T05:13:10.225Z, log record: Jun  5 05:13:10 vm-1a ansible-async_wrapper.py: 2229 still running (31535220)
file /var/log/kern.log at 2024-06-05T05:13:11.968Z, log record: Jun  5 05:13:10 vm-1a kernel: [  961.476331] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=100.25.129.64 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=21222 DF PROTO=ICMP TYPE=8 CODE=0 ID=30 SEQ=11033
file /var/log/kern.log at 2024-06-05T05:13:11.968Z, log record: Jun  5 05:13:11 vm-1a kernel: [  962.709608] ICMP packet: IN=ens4 OUT= MAC=42:01:0a:00:01:02:42:01:0a:00:01:01:08:00 SRC=107.22.143.165 DST=10.0.1.2 LEN=36 TOS=0x00 PREC=0x00 TTL=249 ID=19038 DF PROTO=ICMP TYPE=8 CODE=0 ID=31 SEQ=16098
For vm-2a:
file /var/log/syslog at 2024-06-05T05:13:15.080Z, log record: Jun  5 05:13:13 vm-2a ansible-async_wrapper.py: 2238 still running (31535220)
file /var/log/audit/audit.log at 2024-06-05T05:13:08.200Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T05:13:08.204Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T05:13:08.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T05:13:14.741Z, log record: unknown
file /var/log/syslog at 2024-06-05T05:13:21.080Z, log record: Jun  5 05:13:18 vm-2a ansible-async_wrapper.py: 2238 still running (31535215)
file /var/log/syslog at 2024-06-05T05:13:01.077Z, log record: Jun  5 05:12:58 vm-2a ansible-async_wrapper.py: 2238 still running (31535235)
file /var/log/syslog at 2024-06-05T05:13:07.078Z, log record: Jun  5 05:13:03 vm-2a ansible-async_wrapper.py: 2238 still running (31535230)
file /var/log/syslog at 2024-06-05T05:13:09.079Z, log record: Jun  5 05:13:08 vm-2a ansible-async_wrapper.py: 2238 still running (31535225)
