For vm-2a:
file /var/log/syslog at 2024-06-05T16:41:21.988Z, log record: Jun  5 16:41:18 vm-2a ansible-async_wrapper.py: 2232 still running (31533165)
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.040Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.112Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.112Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.112Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.112Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.112Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.112Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.164Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.268Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.272Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.376Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-05T16:41:20.436Z, log record: unknown
file /var/log/syslog at 2024-06-05T16:41:22.636Z, log record: Jun  5 16:41:21 vm-1a ansible-async_wrapper.py: 2240 still running (31533165)
file /var/log/syslog at 2024-06-05T16:41:12.634Z, log record: Jun  5 16:41:11 vm-1a ansible-async_wrapper.py: 2240 still running (31533175)
