For vm-1a:
file /var/log/audit/audit.log at 2024-06-02T22:43:41.834Z, log record: type=SERVICE_START msg=audit(1717368219.440:190): pid=1 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='unit=gce-workload-cert-refresh comm="systemd" exe="/usr/lib/systemd/systemd" hostname=? addr=? terminal=? res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=USER_LOGIN msg=audit(1717368211.604:396): pid=3156 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=34.91.0.68 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:36.734Z, log record: type=USER_ERR msg=audit(1717368211.744:397): pid=3156 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=34.91.0.68 addr=34.91.0.68 terminal=ssh res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:38.734Z, log record: type=SERVICE_START msg=audit(1717368217.584:398): pid=1 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='unit=gce-workload-cert-refresh comm="systemd" exe="/usr/lib/systemd/systemd" hostname=? addr=? terminal=? res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:38.734Z, log record: type=SERVICE_STOP msg=audit(1717368217.584:399): pid=1 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='unit=gce-workload-cert-refresh comm="systemd" exe="/usr/lib/systemd/systemd" hostname=? addr=? terminal=? res=success'
file /var/log/audit/audit.log at 2024-06-02T22:43:37.584Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:37.584Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:06.525Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:06.525Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:06.649Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-02T22:43:12.731Z, log record: type=USER_LOGIN msg=audit(1717368186.525:381): pid=3075 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=221.161.235.168 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:12.732Z, log record: type=USER_LOGIN msg=audit(1717368186.525:382): pid=3075 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28696E76616C6964207573657229 exe="/usr/sbin/sshd" hostname=? addr=221.161.235.168 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-02T22:43:12.732Z, log record: type=USER_ERR msg=audit(1717368186.649:383): pid=3075 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=PAM:bad_ident grantors=? acct="?" exe="/usr/sbin/sshd" hostname=221.161.235.168 addr=221.161.235.168 terminal=ssh res=failed'
