For vm-2a:
file /var/log/audit/audit.log at 2024-06-03T00:22:08.521Z, log record: type=USER_LOGIN msg=audit(1717374125.134:1112): pid=7404 uid=0 auid=4294967295 ses=4294967295 subj=unconfined msg='op=login acct=28756E6B6E6F776E207573657229 exe="/usr/sbin/sshd" hostname=? addr=43.128.131.205 terminal=sshd res=failed'
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=SYSCALL msg=audit(1717374095.684:1100): arch=c000003e syscall=1 success=yes exit=4 a0=3 a1=7ffe580ebbc0 a2=4 a3=7ff0db7ce371 items=0 ppid=800 pid=7325 auid=1001 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=51 comm="sshd" exe="/usr/sbin/sshd" subj=unconfined key=(null)
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=PROCTITLE msg=audit(1717374095.684:1100): proctitle=737368643A2070726F666573736F72205B707269765D
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=USER_START msg=audit(1717374096.116:1101): pid=7325 uid=0 auid=1001 ses=51 subj=unconfined msg='op=PAM:session_open grantors=pam_selinux,pam_loginuid,pam_keyinit,pam_permit,pam_umask,pam_unix,pam_systemd,pam_mail,pam_limits,pam_env,pam_env,pam_selinux acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=CRED_ACQ msg=audit(1717374096.120:1102): pid=7398 uid=0 auid=1001 ses=51 subj=unconfined msg='op=PAM:setcred grantors=pam_permit,pam_cap acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=SYSCALL msg=audit(1717374096.316:1103): arch=c000003e syscall=263 success=yes exit=0 a0=ffffff9c a1=55b60e10c180 a2=0 a3=0 items=2 ppid=7398 pid=7399 auid=1001 uid=1001 gid=1002 euid=1001 suid=1001 fsuid=1001 egid=1002 sgid=1002 fsgid=1002 tty=(none) ses=51 comm="rm" exe="/usr/bin/rm" subj=unconfined key="create_modify_files"
file /var/log/audit/audit.log at 2024-06-03T00:21:42.518Z, log record: type=CWD msg=audit(1717374096.316:1103): cwd="/home/professor"
file /var/log/audit/audit.log at 2024-06-03T00:21:42.519Z, log record: type=PATH msg=audit(1717374096.316:1103): item=0 name="/home/professor" inode=258065 dev=08:01 mode=040755 ouid=1001 ogid=1002 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0
file /var/log/audit/audit.log at 2024-06-03T00:21:42.519Z, log record: type=PATH msg=audit(1717374096.316:1103): item=1 name="file.txt" inode=261164 dev=08:01 mode=0100664 ouid=1001 ogid=1002 rdev=00:00 nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0
file /var/log/audit/audit.log at 2024-06-03T00:21:42.519Z, log record: type=PROCTITLE msg=audit(1717374096.316:1103): proctitle=726D0066696C652E747874
file /var/log/audit/audit.log at 2024-06-03T00:21:42.519Z, log record: type=USER_END msg=audit(1717374096.364:1104): pid=7325 uid=0 auid=1001 ses=51 subj=unconfined msg='op=PAM:session_close grantors=pam_selinux,pam_loginuid,pam_keyinit,pam_permit,pam_umask,pam_unix,pam_systemd,pam_mail,pam_limits,pam_env,pam_env,pam_selinux acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-03T00:21:42.519Z, log record: type=CRED_DISP msg=audit(1717374096.364:1105): pid=7325 uid=0 auid=1001 ses=51 subj=unconfined msg='op=PAM:setcred grantors=pam_permit acct="professor" exe="/usr/sbin/sshd" hostname=68.108.247.157 addr=68.108.247.157 terminal=ssh res=success'
file /var/log/audit/audit.log at 2024-06-03T00:21:35.680Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:35.684Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:35.684Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:35.684Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:35.684Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.116Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.120Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.316Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.316Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.316Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.316Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.316Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.364Z, log record: unknown
file /var/log/audit/audit.log at 2024-06-03T00:21:36.364Z, log record: unknown
